Gene stable ID	Gene name
ENSSSCG00000029458	SLC16A2
ENSSSCG00000001823	UROC1
ENSSSCG00000028538	RLIM
ENSSSCG00000027609	GC
ENSSSCG00000014196	TMEM232
ENSSSCG00000016166	SPAG16
ENSSSCG00000013665	
ENSSSCG00000004247	ASF1A
ENSSSCG00000017501	PNMT
ENSSSCG00000049691	
ENSSSCG00000030147	TRMT61B
ENSSSCG00000006969	TRMT9B
ENSSSCG00000002434	NRDE2
ENSSSCG00000034814	MRTO4
ENSSSCG00000029960	LRRC4B
ENSSSCG00000036083	PCGF5
ENSSSCG00000014197	
ENSSSCG00000040770	CA1
ENSSSCG00000032834	ZNF169
ENSSSCG00000040182	RHBDD2
ENSSSCG00000017942	
ENSSSCG00000004547	
ENSSSCG00000009950	
ENSSSCG00000035689	NEXMIF
ENSSSCG00000043570	
ENSSSCG00000015333	ASB4
ENSSSCG00000005593	OLFML2A
ENSSSCG00000021818	ENOX1
ENSSSCG00000008538	SPDYA
ENSSSCG00000050966	
ENSSSCG00000017500	TCAP
ENSSSCG00000003222	SYT3
ENSSSCG00000039721	PRL
ENSSSCG00000008944	NPFFR2
ENSSSCG00000025768	CALM1
ENSSSCG00000027556	RSRC1
ENSSSCG00000017943	ACAP1
ENSSSCG00000039214	
ENSSSCG00000009952	TMEM211
ENSSSCG00000003729	RNF125
ENSSSCG00000011355	
ENSSSCG00000003491	AKR7A2
ENSSSCG00000035736	
ENSSSCG00000012037	PAXBP1
ENSSSCG00000006970	DLC1
ENSSSCG00000014198	
ENSSSCG00000015331	PON2
ENSSSCG00000005594	WDR38
ENSSSCG00000017324	
ENSSSCG00000038251	DNAJC15
ENSSSCG00000039535	CAMK2B
ENSSSCG00000016168	VWC2L
ENSSSCG00000037098	
ENSSSCG00000002814	ADGRG3
ENSSSCG00000008090	IL1A
ENSSSCG00000006780	WNT2B
ENSSSCG00000039874	CCL26
ENSSSCG00000012038	C21orf62
ENSSSCG00000033385	
ENSSSCG00000004249	CEP85L
ENSSSCG00000017945	TMEM95
ENSSSCG00000008540	PPP1CB
ENSSSCG00000020912	HECTD2
ENSSSCG00000046848	
ENSSSCG00000017499	STARD3
ENSSSCG00000012424	ABCB7
ENSSSCG00000014199	WDR36
ENSSSCG00000003730	RNF138
ENSSSCG00000037572	EPSTI1
ENSSSCG00000045886	
ENSSSCG00000003492	SLC66A1
ENSSSCG00000038180	ADAMTS3
ENSSSCG00000045097	
ENSSSCG00000034227	RPL35
ENSSSCG00000006781	CTTNBP2NL
ENSSSCG00000001083	
ENSSSCG00000006143	CA13
ENSSSCG00000002817	DRC7
ENSSSCG00000026061	
ENSSSCG00000004548	PIF1
ENSSSCG00000048913	
ENSSSCG00000008089	CKAP2L
ENSSSCG00000026142	TNK1
ENSSSCG00000009428	FAM216B
ENSSSCG00000010464	PPP1R3C
ENSSSCG00000009954	CRYBB3
ENSSSCG00000036814	CLEC11A
ENSSSCG00000036556	
ENSSSCG00000007700	HIP1
ENSSSCG00000015334	PDK4
ENSSSCG00000025651	GFM1
ENSSSCG00000004250	SLC35F1
ENSSSCG00000016170	BARD1
ENSSSCG00000005043	DDHD1
ENSSSCG00000046001	
ENSSSCG00000003732	MEP1B
ENSSSCG00000005596	ARPC5L
ENSSSCG00000029391	PLSCR3
ENSSSCG00000035266	
ENSSSCG00000038390	HELT
ENSSSCG00000009955	CRYBB2
ENSSSCG00000010465	TNKS2
ENSSSCG00000014817	ARAP1
ENSSSCG00000028145	GPR32
ENSSSCG00000004549	RBPMS2
ENSSSCG00000026680	KCND3
ENSSSCG00000006972	C8orf48
ENSSSCG00000034452	
ENSSSCG00000048990	
ENSSSCG00000008947	COX18
ENSSSCG00000050541	
ENSSSCG00000009429	TNFSF11
ENSSSCG00000013352	E2F8
ENSSSCG00000021696	NRSN1
ENSSSCG00000000663	KLRG1
ENSSSCG00000008092	NT5DC4
ENSSSCG00000013666	RDH8
ENSSSCG00000006973	
ENSSSCG00000024736	ACP4
ENSSSCG00000001824	ZXDC
ENSSSCG00000038581	RBIS
ENSSSCG00000024975	NR5A2
ENSSSCG00000034756	PLB1
ENSSSCG00000037019	CAMK4
ENSSSCG00000040691	
ENSSSCG00000020885	NUS1
ENSSSCG00000041289	IL10RB
ENSSSCG00000005597	GOLGA1
ENSSSCG00000007705	
ENSSSCG00000011356	UQCRC1
ENSSSCG00000002436	TTC7B
ENSSSCG00000024584	SPEM2
ENSSSCG00000034674	
ENSSSCG00000004550	OAZ2
ENSSSCG00000006145	E2F5
ENSSSCG00000004252	
ENSSSCG00000006783	DDX20
ENSSSCG00000031691	
ENSSSCG00000015790	SLC25A4
ENSSSCG00000040743	M6PR
ENSSSCG00000003493	CAPZB
ENSSSCG00000017498	PPP1R1B
ENSSSCG00000029196	DIP2B
ENSSSCG00000009430	AKAP11
ENSSSCG00000037601	
ENSSSCG00000010466	FGFBP3
ENSSSCG00000046984	
ENSSSCG00000001085	DCDC2
ENSSSCG00000013354	CSRP3
ENSSSCG00000007704	NSUN5
ENSSSCG00000032288	SLC20A1
ENSSSCG00000032527	FOSL2
ENSSSCG00000033115	IFNAR1
ENSSSCG00000006146	LRRCC1
ENSSSCG00000002813	KATNB1
ENSSSCG00000010911	ZNF281
ENSSSCG00000028725	TMEM102
ENSSSCG00000015335	DYNC1I1
ENSSSCG00000003731	GAREM1
ENSSSCG00000013664	SHFL
ENSSSCG00000041221	OR8U1
ENSSSCG00000004253	
ENSSSCG00000036030	INKA2
ENSSSCG00000009956	GRK3
ENSSSCG00000038257	SGCZ
ENSSSCG00000015791	CFAP97
ENSSSCG00000005813	
ENSSSCG00000011362	TMEM89
ENSSSCG00000010912	KIF14
ENSSSCG00000021688	ZDHHC13
ENSSSCG00000007703	TRIM50
ENSSSCG00000001825	SLC41A3
ENSSSCG00000051794	CHRNB1
ENSSSCG00000008094	CHCHD5
ENSSSCG00000050585	
ENSSSCG00000021825	RPS21
ENSSSCG00000024668	KLK1
ENSSSCG00000005598	SCAI
ENSSSCG00000000661	PHC1
ENSSSCG00000015789	SNX25
ENSSSCG00000048864	
ENSSSCG00000007702	FKBP6
ENSSSCG00000004551	ZNF609
ENSSSCG00000016750	YKT6
ENSSSCG00000006785	RAP1A
ENSSSCG00000013663	ANGPTL6
ENSSSCG00000026465	BABAM2
ENSSSCG00000009431	DGKH
ENSSSCG00000032047	
ENSSSCG00000010467	BTAF1
ENSSSCG00000007540	CABLES2
ENSSSCG00000003733	KLHL14
ENSSSCG00000031518	STARD4
ENSSSCG00000006147	
ENSSSCG00000012426	ZDHHC15
ENSSSCG00000001087	MRS2
ENSSSCG00000033583	NEUROD2
ENSSSCG00000027342	BAZ1B
ENSSSCG00000020984	LXN
ENSSSCG00000034378	IFNGR2
ENSSSCG00000006148	
ENSSSCG00000013662	PPAN
ENSSSCG00000047953	
ENSSSCG00000041571	
ENSSSCG00000008098	POLR1B
ENSSSCG00000049251	
ENSSSCG00000037504	
ENSSSCG00000005045	BMP4
ENSSSCG00000042947	
ENSSSCG00000034282	ABCA12
ENSSSCG00000033957	
ENSSSCG00000004254	DCBLD1
ENSSSCG00000017504	CDK12
ENSSSCG00000046700	
ENSSSCG00000016753	POLD2
ENSSSCG00000024592	ANKRD17
ENSSSCG00000034624	TMEM50B
ENSSSCG00000005600	PPP6C
ENSSSCG00000014818	STARD10
ENSSSCG00000015792	LRP2BP
ENSSSCG00000007708	BCL7B
ENSSSCG00000004552	TRIP4
ENSSSCG00000024072	P2RY11
ENSSSCG00000032469	
ENSSSCG00000007539	RBBP8NL
ENSSSCG00000028928	
ENSSSCG00000006788	ADORA3
ENSSSCG00000030539	KLK15
ENSSSCG00000028192	DNAJC28
ENSSSCG00000005599	RABEPK
ENSSSCG00000013358	PTPN5
ENSSSCG00000021258	
ENSSSCG00000007538	GATA5
ENSSSCG00000013661	EIF3G
ENSSSCG00000011361	SLC26A6
ENSSSCG00000024444	DDX59
ENSSSCG00000028414	
ENSSSCG00000000664	A2ML1
ENSSSCG00000016754	AEBP1
ENSSSCG00000026978	ROS1
ENSSSCG00000017505	MED1
ENSSSCG00000023074	KLK4
ENSSSCG00000012425	UPRT
ENSSSCG00000038001	RBKS
ENSSSCG00000005047	CDKN3
ENSSSCG00000028278	POLR2A
ENSSSCG00000028623	RARRES1
ENSSSCG00000024669	
ENSSSCG00000007709	TBL2
ENSSSCG00000005601	HSPA5
ENSSSCG00000035307	
ENSSSCG00000021988	TUSC3
ENSSSCG00000016173	ATIC
ENSSSCG00000004554	PCLAF
ENSSSCG00000039419	SLCO4A1
ENSSSCG00000025485	
ENSSSCG00000030677	GART
ENSSSCG00000014819	ATG16L2
ENSSSCG00000034792	KLK5
ENSSSCG00000037491	
ENSSSCG00000008097	
ENSSSCG00000015798	ANKRD37
ENSSSCG00000009957	MYO18B
ENSSSCG00000025244	
ENSSSCG00000034129	MRPL33
ENSSSCG00000040188	TNFSF12
ENSSSCG00000014203	MCC
ENSSSCG00000027314	CAMSAP2
ENSSSCG00000024377	RPS6KA5
ENSSSCG00000032902	KLK7
ENSSSCG00000037772	ATP5PB
ENSSSCG00000013360	TMEM86A
ENSSSCG00000001089	GPLD1
ENSSSCG00000038703	CCDC178
ENSSSCG00000015793	UFSP2
ENSSSCG00000045461	
ENSSSCG00000040565	
ENSSSCG00000030626	ALDH1L1
ENSSSCG00000013361	
ENSSSCG00000039984	KLK6
ENSSSCG00000008549	SLC4A1AP
ENSSSCG00000038278	NTSR1
ENSSSCG00000030577	PBDC1
ENSSSCG00000017506	FBXL20
ENSSSCG00000048125	
ENSSSCG00000026018	MFSD1
ENSSSCG00000032735	INAVA
ENSSSCG00000004255	VGLL2
ENSSSCG00000027489	TMCO4
ENSSSCG00000041353	
ENSSSCG00000038037	
ENSSSCG00000006149	RALYL
ENSSSCG00000023674	SON
ENSSSCG00000027256	CNIH1
ENSSSCG00000007710	MLXIPL
ENSSSCG00000016138	ATF1
ENSSSCG00000008096	ZC3H6
ENSSSCG00000035365	RNF186
ENSSSCG00000033737	
ENSSSCG00000008548	SUPT7L
ENSSSCG00000000665	RIMKLB
ENSSSCG00000016755	POLM
ENSSSCG00000034400	KLK8
ENSSSCG00000051669	
ENSSSCG00000045569	
ENSSSCG00000036521	TNFSF13
ENSSSCG00000015794	C4orf47
ENSSSCG00000039652	OTUD3
ENSSSCG00000003736	ASXL3
ENSSSCG00000011360	CELSR3
ENSSSCG00000034783	TMPRSS12
ENSSSCG00000014820	FCHSD2
ENSSSCG00000034173	GID8
ENSSSCG00000017507	
ENSSSCG00000006790	WDR77
ENSSSCG00000002540	PPP2R5C
ENSSSCG00000013659	DNMT1
ENSSSCG00000004558	CSNK1G1
ENSSSCG00000033192	
ENSSSCG00000006979	MSR1
ENSSSCG00000033887	PLA2G2E
ENSSSCG00000039333	RFX6
ENSSSCG00000014204	DCP2
ENSSSCG00000008099	ZC3H8
ENSSSCG00000002438	
ENSSSCG00000005602	GAPVD1
ENSSSCG00000013362	UEVLD
ENSSSCG00000031428	
ENSSSCG00000003494	PLA2G2A
ENSSSCG00000015795	
ENSSSCG00000016756	BLVRA
ENSSSCG00000002812	KIFC3
ENSSSCG00000017508	STAC2
ENSSSCG00000044504	
ENSSSCG00000016174	FN1
ENSSSCG00000009958	SEZ6L
ENSSSCG00000034216	OGFR
ENSSSCG00000003495	
ENSSSCG00000026294	GMFB
ENSSSCG00000036742	KLF15
ENSSSCG00000044444	
ENSSSCG00000028060	SLC4A8
ENSSSCG00000034114	GPR68
ENSSSCG00000033358	VPS37D
ENSSSCG00000008101	FBLN7
ENSSSCG00000027089	DONSON
ENSSSCG00000038523	
ENSSSCG00000040554	COL9A3
ENSSSCG00000022833	FGF16
ENSSSCG00000015336	SLC25A13
ENSSSCG00000034137	PPIB
ENSSSCG00000031712	MFAP5
ENSSSCG00000011728	IQCJ
ENSSSCG00000006980	FGF20
ENSSSCG00000041063	
ENSSSCG00000001090	ALDH5A1
ENSSSCG00000034429	PLA2G5
ENSSSCG00000008546	GPN1
ENSSSCG00000021706	KIF21B
ENSSSCG00000011364	NCKIPSD
ENSSSCG00000007713	BUD23
ENSSSCG00000037275	SNX22
ENSSSCG00000017509	
ENSSSCG00000001826	CFAP100
ENSSSCG00000027491	
ENSSSCG00000015796	PDLIM3
ENSSSCG00000006151	SNX16
ENSSSCG00000021451	CGRRF1
ENSSSCG00000009959	ASPHD2
ENSSSCG00000038283	
ENSSSCG00000042065	
ENSSSCG00000038631	TCFL5
ENSSSCG00000040922	IP6K2
ENSSSCG00000031106	PLA2G2D
ENSSSCG00000016758	STK17A
ENSSSCG00000028377	CRYZL1
ENSSSCG00000014207	APC
ENSSSCG00000036207	GPRC6A
ENSSSCG00000002440	CCDC88C
ENSSSCG00000013363	LDHC
ENSSSCG00000040496	
ENSSSCG00000000667	AICDA
ENSSSCG00000036504	PLA2G2F
ENSSSCG00000006791	OVGP1
ENSSSCG00000009960	HPS4
ENSSSCG00000003737	NOL4
ENSSSCG00000033946	DIDO1
ENSSSCG00000025980	CHMP4C
ENSSSCG00000041052	
ENSSSCG00000007772	STX1A
ENSSSCG00000003499	
ENSSSCG00000040207	P2RY2
ENSSSCG00000006981	MICU3
ENSSSCG00000040738	DYNC1H1
ENSSSCG00000010468	CPEB3
ENSSSCG00000000228	SCN8A
ENSSSCG00000017957	EIF4A1
ENSSSCG00000038522	FAM162B
ENSSSCG00000034559	
ENSSSCG00000029837	VWA8
ENSSSCG00000003498	UBXN10
ENSSSCG00000011363	PRKAR2A
ENSSSCG00000032280	
ENSSSCG00000042703	
ENSSSCG00000041319	
ENSSSCG00000000668	APOBEC1
ENSSSCG00000024780	ZFAND1
ENSSSCG00000004262	KPNA5
ENSSSCG00000032460	
ENSSSCG00000000669	GDF3
ENSSSCG00000036443	HECW1
ENSSSCG00000002536	
ENSSSCG00000035306	
ENSSSCG00000007715	ABHD11
ENSSSCG00000014823	P2RY6
ENSSSCG00000035586	
ENSSSCG00000011729	
ENSSSCG00000045239	
ENSSSCG00000017510	CACNB1
ENSSSCG00000024614	ITSN1
ENSSSCG00000040931	SLC17A9
ENSSSCG00000023408	SAMD4A
ENSSSCG00000024009	
ENSSSCG00000013658	S1PR2
ENSSSCG00000050530	SRRD
ENSSSCG00000026954	TMEM87B
ENSSSCG00000039695	
ENSSSCG00000001091	KIAA0319
ENSSSCG00000011366	SLC25A20
ENSSSCG00000028045	MUL1
ENSSSCG00000006792	
ENSSSCG00000002535	HSP90AA1
ENSSSCG00000034363	
ENSSSCG00000000231	
ENSSSCG00000047604	
ENSSSCG00000006982	ZDHHC2
ENSSSCG00000009962	TFIP11
ENSSSCG00000013366	LDHA
ENSSSCG00000041148	
ENSSSCG00000008948	ALB
ENSSSCG00000035928	CLDN3
ENSSSCG00000016175	MREG
ENSSSCG00000033791	IMPA1
ENSSSCG00000014822	
ENSSSCG00000035204	
ENSSSCG00000036362	
ENSSSCG00000021259	CDA
ENSSSCG00000002441	PPP4R3A
ENSSSCG00000004263	ZUP1
ENSSSCG00000007718	CLDN4
ENSSSCG00000040086	YTHDF1
ENSSSCG00000047863	
ENSSSCG00000013656	MRPL4
ENSSSCG00000022758	PECR
ENSSSCG00000000232	ACVRL1
ENSSSCG00000040403	NANOG
ENSSSCG00000039887	MARCHF5
ENSSSCG00000042101	
ENSSSCG00000015337	
ENSSSCG00000003506	PINK1
ENSSSCG00000007717	METTL27
ENSSSCG00000022048	REEP5
ENSSSCG00000006983	CNOT7
ENSSSCG00000014825	RELT
ENSSSCG00000025060	
ENSSSCG00000047552	
ENSSSCG00000040236	
ENSSSCG00000043262	
ENSSSCG00000007716	TMEM270
ENSSSCG00000017511	PLXDC1
ENSSSCG00000009963	TPST2
ENSSSCG00000002533	WDR20
ENSSSCG00000047631	
ENSSSCG00000035715	GCH1
ENSSSCG00000011730	IL12A
ENSSSCG00000039977	
ENSSSCG00000048062	
ENSSSCG00000036109	
ENSSSCG00000022925	
ENSSSCG00000023834	RSPH4A
ENSSSCG00000040681	FABP4
ENSSSCG00000017956	CD68
ENSSSCG00000003505	DDOST
ENSSSCG00000008545	ZNF512
ENSSSCG00000001832	ACAN
ENSSSCG00000011367	ARIH2
ENSSSCG00000023706	CHIA
ENSSSCG00000036544	NKAIN4
ENSSSCG00000001092	TDP2
ENSSSCG00000039582	
ENSSSCG00000026230	SRP19
ENSSSCG00000033314	DLX6
ENSSSCG00000009964	CRYBB1
ENSSSCG00000012042	ATP5PO
ENSSSCG00000033728	FABP9
ENSSSCG00000037466	
ENSSSCG00000017955	MPDU1
ENSSSCG00000013655	ICAM1
ENSSSCG00000032533	
ENSSSCG00000038838	DLX5
ENSSSCG00000000233	ACVR1B
ENSSSCG00000010470	IDE
ENSSSCG00000036441	PMP2
ENSSSCG00000006984	VPS37A
ENSSSCG00000002531	MOK
ENSSSCG00000016177	XRCC5
ENSSSCG00000002811	
ENSSSCG00000012434	ATRX
ENSSSCG00000047502	
ENSSSCG00000024784	CACNA1S
ENSSSCG00000036532	FBXO47
ENSSSCG00000002442	CATSPERB
ENSSSCG00000039996	FAM168A
ENSSSCG00000023850	
ENSSSCG00000043809	CRYBA4
ENSSSCG00000027790	
ENSSSCG00000008103	MERTK
ENSSSCG00000036411	ACOT13
ENSSSCG00000025858	ELN
ENSSSCG00000016760	C7orf25
ENSSSCG00000013654	ICAM4
ENSSSCG00000003508	KIF17
ENSSSCG00000034124	CIAO2A
ENSSSCG00000032235	
ENSSSCG00000017953	FXR2
ENSSSCG00000005052	WDHD1
ENSSSCG00000006796	CHI3L2
ENSSSCG00000039580	FOXJ2
ENSSSCG00000026981	
ENSSSCG00000038752	C6orf62
ENSSSCG00000013367	GTF2H1
ENSSSCG00000023592	TAC1
ENSSSCG00000003509	SH2D5
ENSSSCG00000040642	LASP1
ENSSSCG00000013653	ICAM5
ENSSSCG00000050403	
ENSSSCG00000000234	TAMALIN
ENSSSCG00000002532	
ENSSSCG00000034167	SLC5A3
ENSSSCG00000006153	FABP5
ENSSSCG00000025941	PTP4A1
ENSSSCG00000001095	GMNN
ENSSSCG00000016763	GLI3
ENSSSCG00000028047	DTNA
ENSSSCG00000048573	
ENSSSCG00000051040	
ENSSSCG00000014827	PLEKHB1
ENSSSCG00000038880	RPL23
ENSSSCG00000003225	
ENSSSCG00000011369	WDR6
ENSSSCG00000008949	AFP
ENSSSCG00000002530	CINP
ENSSSCG00000003511	HP1BP3
ENSSSCG00000008544	
ENSSSCG00000031321	NR4A1
ENSSSCG00000009434	RGCC
ENSSSCG00000011733	IFT80
ENSSSCG00000036785	MTMR7
ENSSSCG00000012046	
ENSSSCG00000010471	KIF11
ENSSSCG00000037753	C17orf98
ENSSSCG00000025704	DENND2D
ENSSSCG00000002443	TC2N
ENSSSCG00000002809	TEPP
ENSSSCG00000030597	HAPLN3
ENSSSCG00000029860	EPB41L4A
ENSSSCG00000035259	PHF3
ENSSSCG00000025754	ZGLP1
ENSSSCG00000015340	ASNS
ENSSSCG00000009966	MN1
ENSSSCG00000036679	SORBS2
ENSSSCG00000032332	SOCS4
ENSSSCG00000002528	
ENSSSCG00000029169	MAPKAP1
ENSSSCG00000003227	
ENSSSCG00000021478	CWC25
ENSSSCG00000012047	
ENSSSCG00000037260	
ENSSSCG00000028672	GCKR
ENSSSCG00000035077	INHBA
ENSSSCG00000041315	
ENSSSCG00000002808	ZNF319
ENSSSCG00000042096	
ENSSSCG00000009435	NAA16
ENSSSCG00000033687	ATG101
ENSSSCG00000006987	SLC7A2
ENSSSCG00000012049	
ENSSSCG00000011368	P4HTM
ENSSSCG00000030378	LIMK1
ENSSSCG00000044175	
ENSSSCG00000005054	MAPK1IP1L
ENSSSCG00000008950	AFM
ENSSSCG00000025179	NECAP1
ENSSSCG00000040208	PAG1
ENSSSCG00000036314	HHEX
ENSSSCG00000049136	
ENSSSCG00000028802	
ENSSSCG00000050392	
ENSSSCG00000002807	USB1
ENSSSCG00000029918	CEPT1
ENSSSCG00000040636	KRT80
ENSSSCG00000021588	DAPK2
ENSSSCG00000029305	FNDC4
ENSSSCG00000029785	RPS9
ENSSSCG00000038187	
ENSSSCG00000011370	DALRD3
ENSSSCG00000033291	PIP4K2B
ENSSSCG00000009967	PITPNB
ENSSSCG00000017952	SAT2
ENSSSCG00000005055	LGALS3
ENSSSCG00000014828	RAB6A
ENSSSCG00000006988	PDGFRL
ENSSSCG00000022989	ZNF704
ENSSSCG00000004269	
ENSSSCG00000011371	NDUFAF3
ENSSSCG00000013650	
ENSSSCG00000002444	FBLN5
ENSSSCG00000026367	IFT172
ENSSSCG00000039587	
ENSSSCG00000012050	RCAN1
ENSSSCG00000037358	HPS5
ENSSSCG00000037606	PSMB3
ENSSSCG00000034029	
ENSSSCG00000035581	SUGCT
ENSSSCG00000016176	MARCHF4
ENSSSCG00000026922	DRAM2
ENSSSCG00000017951	ATP1B2
ENSSSCG00000002805	CFAP20
ENSSSCG00000043710	
ENSSSCG00000025966	EIF4H
ENSSSCG00000009436	MTRF1
ENSSSCG00000003512	EIF4G3
ENSSSCG00000001097	
ENSSSCG00000039198	PCGF2
ENSSSCG00000008105	ANAPC1
ENSSSCG00000044244	
ENSSSCG00000035501	SMARCAL1
ENSSSCG00000023426	
ENSSSCG00000006799	LRIF1
ENSSSCG00000039677	CHRNA4
ENSSSCG00000011731	SMC4
ENSSSCG00000003268	TSEN34
ENSSSCG00000016768	
ENSSSCG00000011373	QRICH1
ENSSSCG00000034993	NREP
ENSSSCG00000002806	MMP15
ENSSSCG00000015342	COL28A1
ENSSSCG00000010473	EXOC6
ENSSSCG00000006155	ZBTB10
ENSSSCG00000038966	KRT7
ENSSSCG00000040013	MTUS1
ENSSSCG00000031378	KBTBD6
ENSSSCG00000017950	TP53
ENSSSCG00000022187	CISD3
ENSSSCG00000006800	CD53
ENSSSCG00000008952	RASSF6
ENSSSCG00000036716	
ENSSSCG00000031242	
ENSSSCG00000037413	KBTBD7
ENSSSCG00000005056	DLGAP5
ENSSSCG00000005604	PBX3
ENSSSCG00000028112	CLIC6
ENSSSCG00000014829	MRPL48
ENSSSCG00000001834	MFGE8
ENSSSCG00000031627	WBP4
ENSSSCG00000016769	CDK13
ENSSSCG00000003738	MAPRE2
ENSSSCG00000008953	CXCL8
ENSSSCG00000003267	MBOAT7
ENSSSCG00000032478	MLLT6
ENSSSCG00000022454	NRBP1
ENSSSCG00000027487	LAT2
ENSSSCG00000002804	CSNK2A2
ENSSSCG00000006802	KCNA3
ENSSSCG00000031746	KCNQ2
ENSSSCG00000009968	TTC28
ENSSSCG00000012435	MAGT1
ENSSSCG00000045256	
ENSSSCG00000035392	IGFBP2
ENSSSCG00000009440	ELF1
ENSSSCG00000037709	KCNA2
ENSSSCG00000003266	TMC4
ENSSSCG00000035335	FGL1
ENSSSCG00000002445	TRIP11
ENSSSCG00000033235	
ENSSSCG00000013369	
ENSSSCG00000025924	IGFBP5
ENSSSCG00000014211	YTHDC2
ENSSSCG00000046269	
ENSSSCG00000028504	RFC2
ENSSSCG00000013649	ICAM3
ENSSSCG00000032031	QARS1
ENSSSCG00000038418	
ENSSSCG00000027928	TMEM9
ENSSSCG00000003265	LENG1
ENSSSCG00000040141	
ENSSSCG00000008957	AMCF-II
ENSSSCG00000005057	FBXO34
ENSSSCG00000017949	WRAP53
ENSSSCG00000014830	COA4
ENSSSCG00000032129	COX7B
ENSSSCG00000006050	
ENSSSCG00000006804	
ENSSSCG00000002803	CCDC113
ENSSSCG00000004270	ADGRB3
ENSSSCG00000006156	TPD52
ENSSSCG00000013648	TYK2
ENSSSCG00000016179	TNP1
ENSSSCG00000036948	
ENSSSCG00000015343	MIOS
ENSSSCG00000008106	
ENSSSCG00000020838	
ENSSSCG00000006805	PROK1
ENSSSCG00000040062	KRTCAP3
ENSSSCG00000039052	ZNF397
ENSSSCG00000035393	SAAL1
ENSSSCG00000030694	PKP1
ENSSSCG00000005058	ATG14
ENSSSCG00000010474	CYP26C1
ENSSSCG00000003264	CNOT3
ENSSSCG00000028587	PRSS54
ENSSSCG00000037579	PPBP
ENSSSCG00000017948	EFNB3
ENSSSCG00000018056	SRCIN1
ENSSSCG00000040889	
ENSSSCG00000047512	
ENSSSCG00000036926	MVB12B
ENSSSCG00000034864	CHEK2
ENSSSCG00000001096	ARMH2
ENSSSCG00000003740	ZSCAN30
ENSSSCG00000004561	HERC1
ENSSSCG00000012437	ATP7A
ENSSSCG00000010475	CYP26A1
ENSSSCG00000040135	
ENSSSCG00000048439	RALA
ENSSSCG00000047335	
ENSSSCG00000005059	TBPL2
ENSSSCG00000035537	RUNX1
ENSSSCG00000011732	TRIM59
ENSSSCG00000002802	GINS3
ENSSSCG00000022322	
ENSSSCG00000040401	EEF1A2
ENSSSCG00000039338	SUGT1
ENSSSCG00000030497	YAE1
ENSSSCG00000003741	
ENSSSCG00000007719	
ENSSSCG00000017963	
ENSSSCG00000027135	PPM1G
ENSSSCG00000001835	ABHD2
ENSSSCG00000006808	SLC16A4
ENSSSCG00000037782	MRPS28
ENSSSCG00000022657	
ENSSSCG00000006994	PCM1
ENSSSCG00000008959	CXCL2
ENSSSCG00000042767	SERGEF
ENSSSCG00000014831	PAAF1
ENSSSCG00000023886	RPA3
ENSSSCG00000006159	HEY1
ENSSSCG00000035968	LMX1B
ENSSSCG00000033146	CD163
ENSSSCG00000002446	
ENSSSCG00000013647	CDC37
ENSSSCG00000017962	KDM6B
ENSSSCG00000023031	TNNT2
ENSSSCG00000021911	NDRG4
ENSSSCG00000009442	CNMD
ENSSSCG00000003263	PRPF31
ENSSSCG00000023276	ZNF24
ENSSSCG00000013374	KCNC1
ENSSSCG00000037096	TMEM88
ENSSSCG00000040118	
ENSSSCG00000001099	CMAH
ENSSSCG00000031077	KPNA4
ENSSSCG00000037764	POU6F2
ENSSSCG00000004272	LMBRD1
ENSSSCG00000006809	RBM15
ENSSSCG00000006160	STMN2
ENSSSCG00000009445	PCDH8
ENSSSCG00000003513	ECE1
ENSSSCG00000015801	TLR3
ENSSSCG00000017971	
ENSSSCG00000030018	ZNF396
ENSSSCG00000025597	
ENSSSCG00000034933	
ENSSSCG00000011375	USP19
ENSSSCG00000012440	PGK1
ENSSSCG00000031474	PTK6
ENSSSCG00000036169	UMAD1
ENSSSCG00000038626	ZNF513
ENSSSCG00000037846	ACOXL
ENSSSCG00000034860	HSCB
ENSSSCG00000001837	FANCI
ENSSSCG00000013375	MYOD1
ENSSSCG00000027669	TNS1
ENSSSCG00000014213	KCNN2
ENSSSCG00000032752	ZBTB43
ENSSSCG00000003262	TFPT
ENSSSCG00000009444	OLFM4
ENSSSCG00000036706	SRMS
ENSSSCG00000038859	INO80C
ENSSSCG00000007720	GTF2IRD1
ENSSSCG00000032261	CCDC117
ENSSSCG00000008961	MTHFD2L
ENSSSCG00000013642	PDE4A
ENSSSCG00000006810	KCNC4
ENSSSCG00000015345	GLCCI1
ENSSSCG00000010476	MYOF
ENSSSCG00000038405	STMN3
ENSSSCG00000013376	OTOG
ENSSSCG00000031426	ZBTB34
ENSSSCG00000025363	SNX17
ENSSSCG00000006811	SLC6A17
ENSSSCG00000043491	
ENSSSCG00000003261	
ENSSSCG00000006161	IL7
ENSSSCG00000028883	SETD4
ENSSSCG00000026714	TAF9B
ENSSSCG00000038651	FNDC11
ENSSSCG00000028425	
ENSSSCG00000040107	GMEB2
ENSSSCG00000003743	GALNT1
ENSSSCG00000032607	ALPL
ENSSSCG00000014214	TRIM36
ENSSSCG00000023434	PPM1L
ENSSSCG00000046446	
ENSSSCG00000009446	PCDH17
ENSSSCG00000014833	UCP2
ENSSSCG00000023140	EIF2B4
ENSSSCG00000030996	XBP1
ENSSSCG00000030469	BUB1
ENSSSCG00000002449	NDUFB1
ENSSSCG00000045701	
